Lookup Type,Code,Name,Sort Order,Value*
"NervousnessObservation","SevereAnxiety","Equivalent to acute panic states, as seen in severe delirium or acute schizophrenic reactions","4","7"
"NicotineRouteOfIntake","Oral","PO","1","1"
"NicotineRouteOfIntake","Insufflation","Insufflation","2","2"
"NicotineRouteOfIntake","Smoke","Smoke","3","3"
"OpioidDetoxificationProtocol","No","No","1","0"
"OpioidDetoxificationProtocol","OpioidAntagonist","Opioid antagonist (multi-day naltrexone induction)","2","3"
"OpioidDetoxificationProtocol","OpioidAntagonistRapidDetoxification","Opioid antagonist rapid detoxification (i.e. with sedation or anesthesia)","3","4"
"OpioidDetoxificationProtocol","NonopioidSubstitution","Non-opioid substitution (i.e. detox with drugs other than opiates)","4","1"
"OpioidDetoxificationProtocol","OpioidSubstitution","Opioid substitution (i.e. detox with methadone, Suboxone, Subutex, buprenorphine)","5","2"
"ProblemSubstance","NoProblem","No Problem","1","0"
"ProblemSubstance","Alcohol","Alcohol","2","1"
"ProblemSubstance","Heroin","Heroin","3","3"
"ProblemSubstance","Methadone","Methadone","4","4"
"ProblemSubstance","OtherOpiateAnalgesic","Other Opiate/Analgesic","5","5"
"ProblemSubstance","Barbiturates","Barbiturates","6","6"
"ProblemSubstance","OtherSedativesHypnotics","Other Sedatives/Hypnotics","7","7"
"ProblemSubstance","Cocaine","Cocaine","8","8"
"ProblemSubstance","Stimulants","Stimulants","9","9"
"ProblemSubstance","Cannabis","Cannabis","10","10"
"ProblemSubstance","HallucinogensPcp","Hallucinogens/PCP","11","11"
"ProblemSubstance","SolventInhalants","Solvent/Inhalants","12","12"
"ProblemSubstance","NicotineTobacco","Nicotine/Tobacco","13","14"
"ProblemSubstance","OtherSubstance","Other Substance","14","15"
"ProblemSubstance","AlcoholOnly","Alcohol Only","15","100"
"ProblemSubstance","AlcoholAndDrug","Alcohol and Drug (dual addiction)","16","101"
"ProblemSubstance","Polydrug","Polydrug (when not clear, ask patient)","17","102"
"RelapseCause","DetailedPerspectiveOnRisksAndTheirTiming","Thorough, detailed perspective on risks and their timing","1","0"
"RelapseCause","AwareOfSomeRisks","Aware of some risks","2","1"
"RelapseCause","AdmitsRiskPossibleButVagueAboutRiskFactors","Admits risk possible but vague about risk factors","3","2"
"RelapseCause","DoubtsRisksAreSerious","Doubts risks are serious","4","3"
"RelapseCause","ConvincedRelapseWillNotOccur","Convinced relapse will not occur","5","4"
"RelapsePreventionStrategies","HasTrackRecordOfFrequentAndMultipleSuccessfulRecoveryApproaches","Has track record of frequent and multiple successful recovery approaches","1","0"
"RelapsePreventionStrategies","ReadyForRegularMultipleEfforts","Ready for regular, multiple efforts","2","1"
"RelapsePreventionStrategies","SomeIdeasAndOccasionalEffort","Some ideas and occasional effort","3","2"
"RelapsePreventionStrategies","PassiveOrVague","Passive or vague","4","3"
"RelapsePreventionStrategies","HighlyAmbivalentOrRejectsNeed","Highly ambivalent or rejects need","5","4"
"SignsOfWithdrawal","NoRiskOfSevereWithdrawal","No withdrawal, no risk of severe withdrawal","1","0"
"SignsOfWithdrawal","MildRiskOfWithdrawalCanBeManagedAtCareLevel_I","At least mild withdrawal OR evidence of imminent withdrawal AND minimal risk of a severe withdrawal syndrome AND can be safely managed at Level I","2","1"
"SignsOfWithdrawal","RiskOfSevereWithdrawalOutsideProgram","Risk of severe withdrawal outside a program & free of physical and psychiatric complications & would respond to several hours of stabilization.","2","2"
"SignsOfWithdrawal","CurrentOrImminentWithdrawalCanBeManagedAtLevel_III_2","Withdrawal OR evidence of imminent withdrawal AND no risk of severe withdrawal syndrome AND moderate withdrawal is safely manageable at Level III","3","3"
"SignsOfWithdrawal","CurrentOrImminentSevereWithdrawalCanBeManagedAtLevel_III_7","Severe withdrawal OR evidence of imminent severe withdrawal which is manageable at Level III.7","3","4"
"SignsOfWithdrawal","CurrentOrImminentSevereWithdrawal","Severe withdrawal OR imminent severe withdrawal","4","5"
"RouteOfIntake","Oral","PO","1","1"
"RouteOfIntake","Insufflation","Insufflation","2","2"
"RouteOfIntake","Smoke","Smoke","3","3"
"RouteOfIntake","NonIvInjection","Non-IV injection","4","4"
"RouteOfIntake","IvInjection","IV injection","5","5"
"RestlessnessObservation","NormalActivity","Normal activity","1","0"
"RestlessnessObservation","SomewhatMoreThanNormalActivity","Somewhat more than normal activity (may move legs up and down, shift position occasionally)","2","1"
"RestlessnessObservation","ModeratelyFidgety","Moderately fidgety and restless, shifting position frequently","3","2"
"RestlessnessObservation","GrossMovements","Gross movements most of the time or constantly thrashing about","4","3"
"SubstanceTakenAsPrescribed","Less","Less","1","0"
"SubstanceTakenAsPrescribed","Yes","Yes","2","1"
"SubstanceTakenAsPrescribed","More","More","3","2"
"SubstanceTreatmentType","No","No","1","0"
"SubstanceTreatmentType","AlcoholOnly","Alcohol only","2","1"
"SubstanceTreatmentType","DrugOnly","Drug only","3","2"
"SubstanceTreatmentType","AlcoholAndDrug","Alcohol and Drug","4","3"
"SubstanceUseOrRelapseLikelihood","NoImminentRiskOfRelapseInNextFewDays","No imminent risk of relapse in next few days","1","0"
"SubstanceUseOrRelapseLikelihood","FeelsAtRiskWithinAMonth","Feels risk of relapse over next month without treatment or change in plan","2","1"
"SubstanceUseOrRelapseLikelihood","FeelsAtRiskWithinAWeek","Feels at risk within a week","3","2"
"SubstanceUseOrRelapseLikelihood","FeelsAtRiskWithinDays","Feels at risk within days","4","3"
"SubstanceUseOrRelapseLikelihood","AtRiskToday","At risk today","5","4"
"YawningObservation","NoYawning","No yawning","1","0"
"YawningObservation","FrequentYawning","Frequent yawning","2","1"
"YawningObservation","ConstantUncontrolledYawning","Constant, uncontrolled yawning","3","2"
"TremorObservation","NoTremor","No tremor","1","0"
"TremorObservation","NotVisibleButCanBeFeltFingertipToFingertip","Not visible but can be felt fingertip to fingertip","2","1"
"TremorObservation","ModerateTremorWithPatientsArmExtended","Moderate tremor, with patient's arm extended","3","4"
"TremorObservation","SevereEvenWithArmsNotExtendedAndRelaxedAtSides","Severe, even with arms not extended and relaxed at sides","4","7"
"SweatingObservation","NoSweatVisible","No sweat visible","1","0"
"SweatingObservation","BarelyPerceptibleSweatingPalmsMoistNoOtherSigns","Barely perceptible sweating, palms moist (no other signs)","2","1"
"SweatingObservation","BeadsOfSweatObviousOnForehead","Beads of sweat obvious on forehead","3","2"
"SweatingObservation","DrenchingSweatsOverFaceAndChest","Drenching sweats over face and chest","4","3"
"TactileDisturbancesObservation","None","None","1","0"
"TactileDisturbancesObservation","VeryMildItchingPinsAndNeedlesBurningOrNumbness","Very mild itching, pins and needles, burning or numbness","2","1"
"TactileDisturbancesObservation","MildItchingPinsAndNeedlesBurningOrNumbness","Mild itching, pins and needles, burning or numbness","3","2"
"TactileDisturbancesObservation","ModerateItchingPinsAndNeedlesBurningOrNumbness","Moderate itching, pins and needles, burning or numbness","4","3"
"TactileDisturbancesObservation","ModeratelySevereHallucinations","Moderately severe hallucinations","5","4"
"TactileDisturbancesObservation","SevereHallucinations","Severe hallucinations","6","5"
"TactileDisturbancesObservation","ExtremelySevereHallucinations","Extremely severe hallucinations","7","6"
"TactileDisturbancesObservation","ContinuousHallucinations","Continuous hallucinations","8","7"
"EmploymentPattern","FullTime","Full time (40 hours per week)","1","1"
"EmploymentPattern","PartTimeRegularHours","Part time (regular hours)","2","2"
"EmploymentPattern","PartTimeIrregularHours","Part time (irregular, day work)","3","3"
"EmploymentPattern","Student","Student","4","4"
"EmploymentPattern","Service","Service","5","5"
"EmploymentPattern","RetiredOrOnDisability","Retired or on disability","6","6"
"EmploymentPattern","Unemployed","Unemployed","7","7"
"EmploymentPattern","InControlledEnvironment","In controlled environment","8","8"
"WorkOrSchoolAffectOnRecovery","WillBeSupportiveAndProtective","Will be supportive and protective","1","0"
"WorkOrSchoolAffectOnRecovery","WillFreelyPermitRecovery","Will freely permit recovery","2","1"
"WorkOrSchoolAffectOnRecovery","WillRequireSomeScheduleAdjustments","Will require some adjustments (i.e., schedule)","3","2"
"WorkOrSchoolAffectOnRecovery","WillDiscourageOrHinderRecovery","Will discourage or hinder treatment/recovery","4","3"
"WorkOrSchoolAffectOnRecovery","WillOftenPoseExposureToSubstanceUse","Will often pose exposure to substance use","5","4"
"Companionship","Family","Family","1","1"
"Companionship","Friends","Friends","2","2"
"Companionship","Alone","Alone","3","3"
"ContactPerson","Mother","Mother","1","0"
"ContactPerson","Father","Father","2","1"
"ContactPerson","BrotherSister","Brother(s)/Sister(s)","3","2"
"ContactPerson","SexualPartnerSpouse","Sexual partner/spouse","4","3"
"ContactPerson","Children","Children","5","4"
"ContactPerson","OtherSignificantFamily","Other significant family","6","5"
"ContactPerson","CloseFriends","Close friends","7","6"
"ContactPerson","Neighbors","Neighbors","8","7"
"ContactPerson","Coworkers","Co-workers","9","8"
"ContactPerson","NoOne","No one","10","9"
"FreeTimeAffectOnRecovery","DailyRoutineWillGratifyAndShieldFromSubstances","Daily routine will gratify and shield from substances","1","0"
"FreeTimeAffectOnRecovery","FreeTimeActivitiesWillSupportAndDistractFromSubstanceUse","Free time activities will support and distract from substance use","2","1"
"FreeTimeAffectOnRecovery","WillPermitRecoveryIfSufficientlyMotivated","Will permit recovery if sufficiently motivated","3","2"
"FreeTimeAffectOnRecovery","WillDiscourageOrHinderRecovery","Will discourage or hinder treatment/recovery","4","3"
"FreeTimeAffectOnRecovery","WillOftenExposeToSubstanceUse","Will often expose to substance use","5","4"
"FriendsAffectOnRecovery","AllAreInRecoveryAndIncludeSponsor","All are in recovery and include sponsor","1","0"
"FriendsAffectOnRecovery","WillBeSupportiveAndProtective","Will be supportive and protective","2","1"
"FriendsAffectOnRecovery","WillPermitRecovery","Will permit recovery","3","2"
"FriendsAffectOnRecovery","WillDiscourageOrHinderTreatmentrecovery","Will discourage or hinder treatment/recovery","4","3"
"FriendsAffectOnRecovery","WillOftenExposePatientToSubstanceUse","Will often expose patient to substance use","5","4"
"FriendsAffectOnRecovery","HasNoFriends","Has no friends","6","-1"
"LivingArrangement","WithSexualPartnerAndChildren","With sexual partner and children","1","1"
"LivingArrangement","WithSexualPartnerAlone","With sexual partner alone","2","2"
"LivingArrangement","WithParents","With parents","3","3"
"LivingArrangement","WithFamily","With family","4","4"
"LivingArrangement","WithFriends","With friends","5","5"
"LivingArrangement","Alone","Alone","6","6"
"LivingArrangement","ControlledEnvironment","Controlled environment","7","7"
"LivingArrangement","NoStableArrangements","No stable arrangements","8","8"
"LivingArrangementAffectOnRecovery","DailyRoutineWillGratifyShieldFromSubstances","Daily routine will gratify & shield from substances","1","0"
"LivingArrangementAffectOnRecovery","FreeTimeActivitiesWillSupportDistractFromSubstanceUse","Free time activities will support & distract from substance use","2","1"
"LivingArrangementAffectOnRecovery","WillPermitRecoveryIfSufficientlyMotivated","Will permit recovery if sufficiently motivated","3","2"
"LivingArrangementAffectOnRecovery","WillDiscourageOrHinderTreatment","Will discourage or hinder treatment/recovery","4","3"
"LivingArrangementAffectOnRecovery","WillOftenExposeToSubstanceUse","Will often expose to substance use","5","4"
"MaritalStatus","Married","Married","1","1"
"MaritalStatus","Widowed","Widowed","2","3"
"MaritalStatus","Separated","Separated","3","4"
"MaritalStatus","Divorced","Divorced","4","5"
"MaritalStatus","NeverMarried","Never Married","5","6"
"NeedForStaffSupportToMaintainRecovery","NotApplicable","No / Not applicable","1","1"
"NeedForStaffSupportToMaintainRecovery","NeedsContactApproximately1TimePerWeek","Needs contact approximately 1 time per week","2","2"
"NeedForStaffSupportToMaintainRecovery","NeedsContactSeveralTimesPerWeek","Needs contact several times per week","3","3"
"NeedForStaffSupportToMaintainRecovery","NeedsContactDaily","Needs contact daily","4","4"
"NeedsAndWillingnessToHelpTreatment","ImportantPersonsInStableRecovery","Important person(s) in stable recovery","1","0"
"NeedsAndWillingnessToHelpTreatment","OnlyNeedsEducationAndWillAttend","Only needs education and will attend","2","1"
"NeedsAndWillingnessToHelpTreatment","NeedsCouplesOrFamilyCounselingOrTherapyAndWillParticipate","Needs couples or family counseling or therapy and will participate","3","2"
"NeedsAndWillingnessToHelpTreatment","NotClearIfWillHelpOrNoOneAvailable","Not clear if will help or no one available","4","3"
"NeedsAndWillingnessToHelpTreatment","SeriousConflictsAndNotAmenableToFamilyTreatment","Serious conflicts and not amenable to family treatment","5","4"
"StrategiesToDealWithProblemsFromFriendsThatRiskRelapse","HasTrackRecordOfCopingEffectivelyWithProblems","Has track record of coping effectively with problems","1","0"
"StrategiesToDealWithProblemsFromFriendsThatRiskRelapse","HealthySocialNetworkAndSkills","Healthy social network and skills","2","1"
"StrategiesToDealWithProblemsFromFriendsThatRiskRelapse","SomePlansToUseRecoverySupports","Some plans to use recovery supports","3","2"
"StrategiesToDealWithProblemsFromFriendsThatRiskRelapse","PassiveAboutDevelopingProtectiveRelationships","Passive about developing protective relationships","4","3"
"StrategiesToDealWithProblemsFromFriendsThatRiskRelapse","ReclusiveOrDrawnToHighRiskSocialContacts","Reclusive or drawn to high-risk social contacts","5","4"
"StrategiesToDealWithProblemsInFreeTimeThatRiskRelapse","NoApparentProblemsOrHasActivitiesThatAreProtective","No apparent problems or has activities that are protective","1","0"
"StrategiesToDealWithProblemsInFreeTimeThatRiskRelapse","HasSomePlansToDevelopHealthyLeisurePursuits","Has some plans to develop healthy leisure pursuits","2","1"
"StrategiesToDealWithProblemsInFreeTimeThatRiskRelapse","MinimalIdeasForIncreasingAndorMaintainingSafety","Minimal ideas for increasing and/or maintaining safety","3","2"
"StrategiesToDealWithProblemsInFreeTimeThatRiskRelapse","RejectsNeedToDevelopSafeRecreation","Rejects need to develop safe recreation","4","3"
"StrategiesToDealWithProblemsInFreeTimeThatRiskRelapse","PreferenceIsForHighRiskHobbies","Preference is for high-risk hobbies","5","4"
"AssessmentClass","Intake","Intake","1","1"
"AssessmentClass","FollowUp","Follow Up","2","2"
"ControlledEnvironment","None","No","1","0"
"ControlledEnvironment","Jail","Jail","2","1"
"ControlledEnvironment","AlcoholOrDrugTreatment","Alcohol or Drug Treatment","3","2"
"ControlledEnvironment","MedicalTreatment","Medical Treatment","4","3"
"ControlledEnvironment","PsychiatricTreatment","Psychiatric Treatment","5","4"
"ControlledEnvironment","OtherControlledEnvironment","Other","6","5"
"InterviewCircumstances","None","None","1","0"
"InterviewCircumstances","PatientTerminated","Patient terminated","2","1"
"InterviewCircumstances","PatientRefused","Patient refused","3","2"
"InterviewCircumstances","PatientUnableToRespond","Patient unable to respond","4","3"
"InterviewMethod","InPerson","In person","1","1"
"InterviewMethod","ByPhone","By phone","2","2"
"InterviewMethod","ByMail","By mail","3","3"
"DesireAndExternalFactorsDrivingTreatment","CommittedNoExternalPressures","Committed; no external pressures","1","0"
"DesireAndExternalFactorsDrivingTreatment","WantsRecoveryButSomePressure","Wants recovery but some pressure","2","1"
"DesireAndExternalFactorsDrivingTreatment","AmbivalentAndExternallyPersuaded","Ambivalent and externally persuaded","3","2"
"DesireAndExternalFactorsDrivingTreatment","OnlyInTreatmentByCoercion","Only in treatment by coercion","4","3"
"DesireAndExternalFactorsDrivingTreatment","ResentfulAndWishesToRejectTreatmentDespiteCoercion","Resentful and wishes to reject treatment despite coercion","5","4"
"LegalCharge","ContemptOfCourt","Contempt of court","1","3"
"LegalCharge","ShopliftingVandalism","Shoplifting/vandalism","2","4"
"LegalCharge","ParoleProbationViolation","Parole/probation violation","3","5"
"LegalCharge","MajorDrivingViolations","Major driving violations (reckless driving, speeding, no license, etc.)","4","8"
"LegalCharge","DrivingWhileIntoxicated","Driving while intoxicated","5","9"
"LegalCharge","Forgery","Forgery","6","10"
"LegalCharge","WeaponsOffense","Weapons offense","7","11"
"LegalCharge","BurglaryLarcenyBreakingAndEntering","Burglary, larceny, breaking and entering","8","12"
"LegalCharge","Robbery","Robbery","9","13"
"LegalCharge","Assault","Assault","10","14"
"LegalCharge","Arson","Arson","11","15"
"LegalCharge","OtherArrestAndCharge","Other arrest and charge","12","1"
"LegalCharge","DisorderlyConductVagrancyPublicIntoxication","Disorderly conduct, vagrancy, public intoxication","13","2"
"LegalCharge","DrugCharges","Drug charges","14","7"
"LegalCharge","Prostitution","Prostitution","15","6"
"LegalCharge","Rape","Rape","16","16"
"LegalCharge","HomicideManslaughter","Homicide, manslaughter","17","17"
"AuditoryDisturbanceLevel","NotPresent","Not present","1","0"
"AuditoryDisturbanceLevel","VeryMildHarshnessOrAbilityToFrighten","Very mild harshness or ability to frighten","2","1"
"AuditoryDisturbanceLevel","MildHarshnessOrAbilityToFrighten","Mild harshness or ability to frighten","3","2"
"AuditoryDisturbanceLevel","ModerateHarshnessOrAbilityToFrighten","Moderate harshness or ability to frighten","4","3"
"AuditoryDisturbanceLevel","ModeratelySevereHallucinations","Moderately severe hallucinations","5","4"
"AuditoryDisturbanceLevel","SevereHallucinations","Severe hallucinations","6","5"
"AuditoryDisturbanceLevel","ExtremelySevereHallucinations","Extremely severe hallucinations","7","6"
"AuditoryDisturbanceLevel","ContinuousHallucinations","Continuous hallucinations","8","7"
"HighRiskPregnancyStatus","NoRisk","No","1","0"
"HighRiskPregnancyStatus","PossibleHighRisk","Yes, possible high risk such as elevated blood pressure, placenta previa or past high risk pregnancy","2","1"
"HighRiskPregnancyStatus","ImmediatelyUnstable","Yes, immediately unstable","3","2"
"MedicalProblemCategory","None","None","1","0"
"MedicalProblemCategory","NeurologicalSeizuresFits","Neurological, seizures or fits","1","1"
"MedicalProblemCategory","OphthalmologicEye","Ophthalmologic, eye","2","2"
"MedicalProblemCategory","EarNoseThroat","Ear/Nose/Throat","3","3"
"MedicalProblemCategory","DentalTeethGums","Dental, teeth, gums","4","4"
"MedicalProblemCategory","Cardiovascular","Cardiovascular (heart, circulation, heart attacks, or hypertension)","5","5"
"MedicalProblemCategory","PulmonaryLungAsthma","Pulmonary,  lung, asthma","6","6"
"MedicalProblemCategory","DigestiveBowelLiverPancreasDiabetes","Digestive, stomach, bowel, liver, pancreas, diabetes","7","7"
"MedicalProblemCategory","UrinaryBladder","Urinary, bladder","8","8"
"PhysicalHealthsEffectOnSubstanceProblems","NoneOrSlightProblemsThatWontInterfereWithRecovery","No problem or slight problems that won't interfere","1","0"
"PhysicalHealthsEffectOnSubstanceProblems","SlightProblemsWontInterfereWithRecovery","Slight health problems won't interfere","2","1"
"PhysicalHealthsEffectOnSubstanceProblems","SomewhatDistractingFromRecovery","Somewhat distracting from recovery","3","2"
"PhysicalHealthsEffectOnSubstanceProblems","SomeLikelihoodToHinderRecovery","Some likelihood to hinder treatment/recovery participation","4","3"
"PhysicalHealthsEffectOnSubstanceProblems","WillThreatenRecovery","Will threaten recovery (e.g. expects to require opiates for pain, can't attend group)","5","4"
"SenseOfAwareness","OrientedAndCanDoSerialAdditions","Oriented and can do serial additions","1","0"
"SenseOfAwareness","CannotDoSerialAdditionsOrIsUncertainAboutDate","Cannot do serial additions or is uncertain about date","2","1"
"SenseOfAwareness","DisorientedForDateByNoMoreThan2CalendarDays","Disoriented for date by no more than 2 calendar days","3","2"
"SenseOfAwareness","DisorientedForDateByMoreThan2CalendarDays","Disoriented for date by more than 2 calendar days","4","3"
"SenseOfAwareness","DisorientedToPlaceAndOrPerson","Disoriented to place and/or person","5","4"
"TreatmentNeedLevel","None","None","1","0"
"TreatmentNeedLevel","OneVisitPerMonth","1 Visit per Month","2","1"
"TreatmentNeedLevel","TwoToFourVisitsPerMonth","2 to 4 Visits per Month","3","2"
"TreatmentNeedLevel","MoreThanOneVisitPerWeek","More than 1 Visit per Week","4","3"
"TreatmentNeedLevel","Hospitalization","Hospitalization","5","4"
"TuberculosisInfectionStatus","NoKnownInfection","No, no known infection","1","0"
"TuberculosisInfectionStatus","KnownInfectionMedicallyTreated","Yes, known infection which is being or has been medically treated","2","1"
"TuberculosisInfectionStatus","KnownInfectionNotMedicallyTreated","Yes, known or suspected infection that is not being or has been treated","3","2"
"VisualDisturbanceLevel","NotPresent","Not present","1","0"
"VisualDisturbanceLevel","VeryMildSensitivity","Very mild sensitivity","2","1"
"VisualDisturbanceLevel","MildSensitivity","Mild sensitivity","3","2"
"VisualDisturbanceLevel","ModerateSensitivity","Moderate sensitivity","4","3"
"VisualDisturbanceLevel","ModeratelySevereHallucinations","Moderately severe hallucinations","5","4"
"VisualDisturbanceLevel","SevereHallucinations","Severe hallucinations","6","5"
"VisualDisturbanceLevel","ExtremelySevereHallucinations","Extremely severe hallucinations","7","6"
"VisualDisturbanceLevel","ContinuousHallucinations","Continuous hallucinations","8","7"
"EmotionalProblemsCorrelationWithSubstanceUse","NoPastOrCurrentSymptoms","No past or current symptoms","1","0"
